iter	Passed	Remaining
931	6900	503
932	6907	496
933	6913	488
934	6919	481
935	6927	473
936	6935	466
937	6941	458
938	6947	451
939	6955	443
940	6962	436
941	6970	429
942	6977	421
943	6987	414
944	6994	407
945	7001	399
946	7007	392
947	7014	384
948	7020	377
949	7026	369
950	7036	362
951	7045	355
952	7050	347
953	7057	340
954	7063	332
955	7069	325
956	7078	318
957	7085	310
958	7092	303
959	7098	295
960	7106	288
961	7113	281
962	7124	273
963	7133	266
964	7141	259
965	7148	251
966	7154	244
967	7161	236
968	7168	229
969	7174	221
970	7181	214
971	7187	207
972	7194	199
973	7203	192
974	7210	184
975	7217	177
976	7224	170
977	7231	162
978	7237	155
979	7243	147
980	7249	140
981	7256	133
982	7261	125
983	7267	118
984	7273	110
985	7278	103
986	7285	95
987	7292	88
988	7298	81
989	7305	73
990	7311	66
991	7317	59
992	7323	51
993	7330	44
994	7336	36
995	7342	29
996	7348	22
997	7354	14
998	7360	7
999	7366	0
